,Labels,XBRLID_predicted
10064,vaneck cef muni income etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
10065,vaneck cef muni income etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
10066,vaneck cef muni income etf return after taxes on distributions since inception average annual return,rr_AverageAnnualReturnSinceInception
10067,vaneck cef muni income etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
10068,vaneck cef muni income etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
10069,vaneck cef muni income etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
10070,vaneck cef muni income etf return after taxes on distributions and sale of fund shares since inception average annual return,rr_AverageAnnualReturnSinceInception
10071,s network municipal bond closed end fund index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
10072,s network municipal bond closed end fund index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
10073,s network municipal bond closed end fund index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
10074,s network municipal bond closed end fund index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
10075,s network municipal bond closed end fund index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
10076,vaneck high yield muni etf return before taxes average annual return,rr_AverageAnnualReturnLabel
10077,vaneck high yield muni etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
10078,vaneck high yield muni etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
10079,vaneck high yield muni etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
10080,vaneck high yield muni etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
10081,vaneck high yield muni etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
10082,vaneck high yield muni etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
10083,vaneck high yield muni etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
10084,vaneck high yield muni etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
10085,vaneck high yield muni etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
10086,vaneck high yield muni etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
10087,vaneck high yield muni etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
10088,bloomberg municipal custom high yield composite index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
10089,bloomberg municipal custom high yield composite index reflects deduction fees expenses taxes,rr_IndexNoDeductionForFeesExpensesTaxes
10090,bloomberg municipal custom high yield composite index reflects deduction fees expenses taxes past one year average annual return,rr_AverageAnnualReturnYear01
10091,bloomberg municipal custom high yield composite index reflects deduction fees expenses taxes past five years average annual return,rr_AverageAnnualReturnYear05
10092,bloomberg municipal custom high yield composite index reflects deduction fees expenses taxes past ten years average annual return,rr_AverageAnnualReturnYear10
10093,vaneck intermediate muni etf return before taxes average annual return,rr_AverageAnnualReturnLabel
10094,vaneck intermediate muni etf return before taxes past one year average annual return,rr_AverageAnnualReturnYear01
10095,vaneck intermediate muni etf return before taxes past five years average annual return,rr_AverageAnnualReturnYear05
10096,vaneck intermediate muni etf return before taxes past ten years average annual return,rr_AverageAnnualReturnYear10
10097,vaneck intermediate muni etf return after taxes on distributions average annual return,rr_AverageAnnualReturnLabel
10098,vaneck intermediate muni etf return after taxes on distributions past one year average annual return,rr_AverageAnnualReturnYear01
10099,vaneck intermediate muni etf return after taxes on distributions past five years average annual return,rr_AverageAnnualReturnYear05
10100,vaneck intermediate muni etf return after taxes on distributions past ten years average annual return,rr_AverageAnnualReturnYear10
10101,vaneck intermediate muni etf return after taxes on distributions and sale of fund shares average annual return,rr_AverageAnnualReturnLabel
10102,vaneck intermediate muni etf return after taxes on distributions and sale of fund shares past one year average annual return,rr_AverageAnnualReturnYear01
10103,vaneck intermediate muni etf return after taxes on distributions and sale of fund shares past five years average annual return,rr_AverageAnnualReturnYear05
10104,vaneck intermediate muni etf return after taxes on distributions and sale of fund shares past ten years average annual return,rr_AverageAnnualReturnYear10
10105,bloomberg amt free intermediate continuous municipal index reflects deduction fees expenses taxes average annual return,rr_AverageAnnualReturnLabel
